
 - final statistics:
136 variables; iteration 0; function evaluation 0
Function value 7.3340e+03; maximum gradient component mag 4.1948e-04
Exit code = 0;  converg criter 1.0000e+01
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1 -0.42335  2.62261e-04 |  2  0.37108  1.52265e-03 |  3 -0.12611  1.26435e-03
  4 -0.01318  9.01010e-04 |  5 -0.70910 -1.48207e-04 |  6 -0.60422 -5.03171e-04
  7  0.37624  2.20121e-04 |  8 -0.18520  5.46645e-04 |  9  0.03404  4.22025e-04
 10 -0.60952 -8.88524e-05 | 11 -0.62338  2.96647e-04 | 12 -0.09168 -1.05223e-04
 13 -0.01012  1.15544e-05 | 14 -0.01034  9.58919e-06 | 15 -0.01056  1.29063e-05
 16 -0.01077  1.24305e-05 | 17 -0.01098  8.02325e-06 | 18 -0.01118  1.12171e-05
 19 -0.01137  1.25889e-05 | 20 -0.01156  9.91767e-06 | 21 -0.01173  1.37573e-05
 22 -0.01190  1.60895e-05 | 23 -0.01205  9.78463e-06 | 24 -0.01219  1.24888e-05
 25 -0.01231  1.28910e-05 | 26 -0.01242  1.40149e-05 | 27 -0.01251  1.34021e-05
 28 -0.01257  1.58766e-05 | 29 -0.01262  1.28815e-05 | 30 -0.01264  1.35511e-05
 31 -0.01264  1.42204e-05 | 32 -0.01261  1.23431e-05 | 33 -0.01256  1.33990e-05
 34 -0.01247  1.58414e-05 | 35 -0.01236  1.18052e-05 | 36 -0.01221  1.37594e-05
 37 -0.01203  1.27249e-05 | 38 -0.01181  1.29683e-05 | 39 -0.01155  1.25409e-05
 40 -0.01125  1.12774e-05 | 41 -0.01091  1.25497e-05 | 42 -0.01054  8.76840e-06
 43 -0.01013  1.03450e-05 | 44 -0.00969  1.09382e-05 | 45 -0.00923  7.35440e-06
 46 -0.00875  9.72513e-06 | 47 -0.00826  6.56310e-06 | 48 -0.00778  7.10559e-06
 49 -0.00731  4.03957e-06 | 50 -0.00686  1.39671e-06 | 51 -0.00645  5.17914e-06
 52 -0.00608  1.18792e-06 | 53 -0.00576 -1.98348e-06 | 54 -0.00548  6.06397e-06
 55 -0.00524  7.10536e-06 | 56 -0.00503 -8.07009e-06 | 57 -0.00482 -4.26764e-06
 58 -0.00458  3.78189e-06 | 59 -0.00430 -9.58121e-06 | 60 -0.00394 -1.76754e-05
 61 -0.00348  1.73304e-06 | 62 -0.00287 -1.41889e-05 | 63 -0.00209 -1.03291e-05
 64 -0.00109 -1.08591e-05 | 65  0.00014 -9.57697e-06 | 66  0.00165 -1.35060e-05
 67  0.00344 -2.34528e-05 | 68  0.00556 -1.35800e-05 | 69  0.00799 -5.45679e-06
 70  0.01073 -1.58789e-05 | 71  0.01376 -2.43428e-05 | 72  0.01701 -8.58746e-06
 73  0.02039 -1.21999e-05 | 74  0.02374 -2.96111e-05 | 75  0.02688 -1.24423e-05
 76  0.02959 -1.48193e-05 | 77  0.03167 -3.22977e-05 | 78  0.03301 -1.86661e-05
 79  0.03356 -4.13661e-05 | 80  0.03342 -1.01740e-05 | 81  0.03269 -2.02135e-05
 82  0.03141 -1.01645e-05 | 83  0.02955 -1.68854e-05 | 84  0.02701 -2.26684e-05
 85  0.02374 -1.80581e-05 | 86  0.01993 -2.27484e-05 | 87  0.01595 -1.66412e-05
 88  0.01232 -1.02439e-05 | 89  0.00947 -1.41486e-05 | 90  0.00753 -2.38902e-05
 91  0.00629 -2.94729e-05 | 92  0.00535 -4.13057e-06 | 93  0.00459 -9.98309e-06
 94  0.00449 -1.91611e-05 | 95  0.00513 -3.24194e-05 | 96  0.00537 -6.58443e-06
 97  0.00705 -1.99792e-06 | 98  0.00963  1.65328e-05 | 99  0.01361 -6.15433e-06
100  0.01372 -1.79579e-05 |101  0.01248 -4.96247e-05 |102  0.01080 -4.17440e-05
103  0.00276 -2.98690e-05 |104  0.00363 -4.40128e-05 |105  0.02300 -1.62731e-05
106  0.02148  2.99536e-05 |107 -0.00261  3.39974e-05 |108  0.01586  3.24669e-05
109  0.08394 -4.67510e-05 |110  0.02835 -4.91173e-05 |111 -0.01439  3.72752e-06
112  0.00446 -2.87334e-05 |113  0.01955 -1.01412e-05 |114  0.03886 -1.09588e-04
115  0.00304 -1.45960e-04 |116 -0.06231 -3.30405e-05 |117 -0.07875 -9.07796e-05
118 -0.07712 -1.18164e-04 |119 -0.03440 -8.33647e-05 |120  0.06997 -4.69230e-05
121  0.02382  9.81949e-05 |122  0.01399  9.91163e-05 |123 -0.02776  4.84435e-05
124 -0.06698  5.82784e-05 |125 -0.00633  6.30310e-05 |126  0.00477  7.46949e-05
127 -0.02715  2.83441e-05 |128  0.02836  9.94954e-05 |129  0.07361  1.36823e-04
130  0.01051 -1.77429e-05 |131  0.08266 -6.23082e-05 |132  0.00582 -4.07904e-05
133  0.13296 -1.30205e-05 |134 -0.00525 -1.35422e-06 |135 -0.04642  3.42511e-05
136 -0.05667  4.06963e-06 |137 -0.02189 -1.60819e-05 |138  0.09425  2.52891e-05
139  0.03193  3.47834e-06 |140  0.01687  1.17041e-05 |141 -0.02797  2.65874e-06
142 -0.01758 -2.34924e-06 |143 -0.00587  7.40373e-06 |144 -0.00040 -1.15471e-07
145  0.27523 -2.96123e-04 |146  0.18628  4.19484e-04 |147  0.04655 -7.64840e-05
148  0.29672  1.08138e-04 |149  0.01641  1.14818e-07 |150 -0.11482  4.61146e-05
151 -0.47550 -7.73701e-06 |152  0.31378 -1.09996e-06 |153  0.04880 -5.98944e-05
154 -0.23508 -1.55482e-05 |155  0.18240 -2.62346e-04 |156  0.25985  2.33422e-04
157  0.17452 -1.05868e-04 |158  0.25418  8.95812e-05 |159  0.00590 -1.33309e-04
160 -0.09831 -1.13683e-04 |161  0.10334  8.63487e-05 |162  0.29675 -1.24594e-04
163  0.16884  3.59576e-05 |164  0.24621  1.74619e-05 |165 -0.35199 -1.03148e-04
166  0.24280  1.35813e-04 |167  0.05277 -2.17929e-04 |168 -0.18764 -5.86995e-04
169  0.20262 -3.55854e-05 |170  0.31674  1.85133e-05 |171  0.07774 -1.95284e-05
172 -0.53233 -4.09877e-05 |173 -0.38070 -2.04424e-05 |174  0.23598 -1.11514e-05
175  0.07830 -1.37158e-04 |176 -0.12203 -2.31124e-05 |177  0.05108  1.30467e-05
178  0.11964  4.03333e-05 |179  0.32137  1.22031e-04 |180  0.27251 -1.50026e-04
181  0.00556  4.66119e-05 |182  0.00910 -5.15994e-05 |183 -0.15023  1.56264e-04
184 -0.12575  1.13739e-04 |185  0.01338  1.27239e-05 |186  0.39320  6.17342e-05
187  0.01865  8.08900e-06 |188 -0.15439  3.23709e-05 |189  0.09929  2.64377e-04
190  0.16363 -3.67870e-04 |191  0.21869 -3.04886e-04 |192  0.25726  1.28413e-04
193  0.02454 -8.31145e-05 |194 -0.00644 -5.05597e-04 |195 -0.17632  2.82520e-05
196 -0.11434 -7.90595e-04 |197 -0.55411  1.13771e-04 |198  0.17113 -1.05393e-05
199  0.09515  1.23734e-03 |200 -0.25356  3.33004e-04 |

 - final statistics:
200 variables; iteration 1; function evaluation 2
Function value 7.3340e+03; maximum gradient component mag -8.6112e-04
Exit code = 1;  converg criter 1.0000e-03
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1 -0.42335  4.31603e-06 |  2  0.37108 -8.35863e-04 |  3 -0.12611 -5.58282e-04
  4 -0.01318 -8.61121e-04 |  5 -0.70910 -1.54564e-04 |  6 -0.60422 -4.68750e-04
  7  0.37624 -2.48269e-04 |  8 -0.18520  1.13252e-05 |  9  0.03404  1.76930e-05
 10 -0.60952 -1.09177e-04 | 11 -0.62338  1.09260e-04 | 12 -0.09168 -1.35900e-04
 13 -0.01012  1.27116e-05 | 14 -0.01034  1.07849e-05 | 15 -0.01056  1.41265e-05
 16 -0.01077  1.36867e-05 | 17 -0.01098  9.32739e-06 | 18 -0.01118  1.25487e-05
 19 -0.01137  1.39540e-05 | 20 -0.01156  1.13288e-05 | 21 -0.01173  1.51970e-05
 22 -0.01190  1.75630e-05 | 23 -0.01205  1.13177e-05 | 24 -0.01219  1.40569e-05
 25 -0.01231  1.45018e-05 | 26 -0.01242  1.56677e-05 | 27 -0.01251  1.51029e-05
 28 -0.01257  1.76178e-05 | 29 -0.01262  1.46801e-05 | 30 -0.01264  1.53981e-05
 31 -0.01264  1.61174e-05 | 32 -0.01261  1.42988e-05 | 33 -0.01256  1.54068e-05
 34 -0.01247  1.78990e-05 | 35 -0.01236  1.39327e-05 | 36 -0.01221  1.59415e-05
 37 -0.01203  1.49718e-05 | 38 -0.01181  1.52783e-05 | 39 -0.01155  1.49179e-05
 40 -0.01125  1.37255e-05 | 41 -0.01091  1.50642e-05 | 42 -0.01054  1.13658e-05
 43 -0.01013  1.30125e-05 | 44 -0.00969  1.36810e-05 | 45 -0.00923  1.01864e-05
 46 -0.00875  1.26319e-05 | 47 -0.00826  9.56213e-06 | 48 -0.00778  1.01886e-05
 49 -0.00731  7.21839e-06 | 50 -0.00686  4.67173e-06 | 51 -0.00645  8.53405e-06
 52 -0.00608  4.64473e-06 | 53 -0.00576  1.57359e-06 | 54 -0.00548  9.69149e-06
 55 -0.00524  1.08231e-05 | 56 -0.00503 -4.21714e-06 | 57 -0.00482 -3.28541e-07
 58 -0.00458  7.79846e-06 | 59 -0.00430 -5.42557e-06 | 60 -0.00394 -1.33899e-05
 61 -0.00348  6.08143e-06 | 62 -0.00287 -9.67559e-06 | 63 -0.00209 -5.69417e-06
 64 -0.00109 -6.07924e-06 | 65  0.00014 -4.64431e-06 | 66  0.00165 -8.38837e-06
 67  0.00344 -1.81156e-05 | 68  0.00556 -8.05175e-06 | 69  0.00799  2.91995e-07
 70  0.01073 -9.83894e-06 | 71  0.01376 -1.79909e-05 | 72  0.01701 -1.95421e-06
 73  0.02039 -5.21941e-06 | 74  0.02374 -2.22395e-05 | 75  0.02688 -4.74822e-06
 76  0.02959 -6.77257e-06 | 77  0.03167 -2.38955e-05 | 78  0.03301 -1.00089e-05
 79  0.03356 -3.24322e-05 | 80  0.03342 -1.11585e-06 | 81  0.03269 -1.10029e-05
 82  0.03141 -8.95627e-07 | 83  0.02955 -7.59277e-06 | 84  0.02701 -1.34364e-05
 85  0.02374 -9.00160e-06 | 86  0.01993 -1.39391e-05 | 87  0.01595 -8.17705e-06
 88  0.01232 -2.18095e-06 | 89  0.00947 -6.50363e-06 | 90  0.00753 -1.67003e-05
