
Initial statistics: 136 variables; iteration 0; function evaluation 0; phase 1
Function value 7.3796087e+03; maximum gradient component mag -2.5350e+02
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
127 -0.02336  4.88545e-01 |128  0.02130 -2.55079e+00 |129  0.07359  1.09849e+00
130  0.01920  4.15165e+00 |131  0.08095  1.21020e+00 |132  0.00823  1.29073e+00
133  0.13252  2.38087e-01 |134 -0.00580 -1.76633e-01 |135 -0.04450  8.33739e-01
136 -0.05699 -1.59053e-02 |137 -0.02021  6.23388e-01 |138  0.09325 -2.83298e-01
139  0.03131 -2.07993e-01 |140  0.01349 -1.20719e+00 |141 -0.02702  3.68011e-01
142 -0.01685  2.05262e-01 |143 -0.00460  3.25674e-01 |144 -0.00035  1.35372e-02
145  0.28169  8.43661e+00 |146  0.19179  7.58173e+00 |147  0.04655 -4.49709e+00
148  0.29672  3.35923e+00 |149 -0.47550 -3.84270e-01 |150  0.31378  2.24098e-01
151  0.18240 -2.41640e+00 |152  0.25985  4.77466e+00 |153  0.17452 -1.95508e+00
154  0.25418  1.72566e+00 |155  0.10334 -1.86206e+00 |156  0.29675  3.30036e+00
157  0.16884 -2.06897e+00 |158  0.24621  2.97612e+00 |159 -0.35199 -7.36601e-02
160  0.24280  6.44087e-01 |161  0.20262 -1.26612e+00 |162  0.31674  3.89136e+00
163 -0.38070  3.83571e-01 |164  0.23598  2.26594e-01 |165  0.05108 -3.09984e+00
166  0.11964 -4.20231e+00 |167  0.32137  4.00034e+00 |168  0.27251  5.50432e+00
169  0.01338 -1.13364e+00 |170  0.39320 -1.13783e-01 |171  0.09929 -1.21594e+01
172  0.16363 -1.22650e+01 |173  0.21869  1.05446e+01 |174  0.25726  6.69701e+00
175 -0.55411  2.01734e+00 |176  0.17113 -5.35677e-01 |

Intermediate statistics: 176 variables; iteration 20; function evaluation 20; phase 3
Function value 7.3350808e+03; maximum gradient component mag -4.3249e+01
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1 -0.42311  8.54959e+00 |  2  0.37156  4.21570e+01 |  3 -0.12656  2.55409e-01
  4 -0.01290  1.56617e+01 |  5 -0.70921 -1.50591e+00 |  6 -0.60468 -1.33048e+01
  7  0.37614 -1.54233e+01 |  8 -0.18586 -4.32494e+01 |  9  0.03425 -2.14012e+01
 10 -0.60994 -2.18005e+00 | 11 -0.62370 -9.51454e+00 | 12 -0.09353 -3.95180e+00
 13 -0.01009 -1.21908e-04 | 14 -0.01031 -2.19624e-04 | 15 -0.01052 -3.12162e-04
 16 -0.01073 -3.97755e-04 | 17 -0.01094 -4.75327e-04 | 18 -0.01114 -5.42501e-04
