
Initial statistics: 136 variables; iteration 0; function evaluation 0; phase 1
Function value 7.3785787e+03; maximum gradient component mag -2.5317e+02
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
 82  0.03412  8.19404e-01 | 83  0.03162  6.59624e-01 | 84  0.02714  2.28511e-01
 85  0.02145 -3.40559e-01 | 86  0.01761 -4.57812e-01 | 87  0.01629 -1.12584e-02
 88  0.01451  2.73120e-01 | 89  0.01164  1.36484e-01 | 90  0.00901 -1.76687e-01
 91  0.00713 -5.08629e-01 | 92  0.00569 -8.40655e-01 | 93  0.00450 -1.18279e+00
 94  0.00399 -1.55652e+00 | 95  0.00429 -1.96075e+00 | 96  0.00447 -2.33139e+00
 97  0.00568 -2.85188e+00 | 98  0.00732 -3.52322e+00 | 99  0.01295 -3.74733e+00
100  0.01141 -4.51673e+00 |101  0.00893 -5.13552e+00 |102  0.00783 -5.31716e+00
103 -0.00135 -5.47147e+00 |104 -0.00478 -6.35187e+00 |105  0.02761 -4.23603e+00
106  0.01977 -4.71596e+00 |107 -0.00250 -3.14499e+00 |108  0.00112 -5.85120e+00
109  0.09771 -1.40522e+00 |110  0.00960 -5.75359e+00 |111 -0.01466 -6.98104e-01
112  0.00662  1.52124e+00 |113  0.01775  2.40471e+00 |114  0.03878  5.75032e+00
115  0.00456  6.97457e+00 |116 -0.06046  5.92182e+00 |117 -0.07415  7.60622e+00
118 -0.06880  9.44374e+00 |119 -0.02982  7.13365e+00 |120  0.06384  4.81336e+00
121  0.03180  8.10399e+00 |122  0.01527  3.48644e+00 |123 -0.03335 -2.44408e+00
124 -0.07772 -5.28109e+00 |125 -0.01222 -4.21493e+00 |126  0.00642 -9.52352e-01
127 -0.02260  5.79108e-01 |128  0.01997 -3.22315e+00 |129  0.07300  8.26882e-01
130  0.02149  5.13184e+00 |131  0.08134  1.82848e+00 |132  0.00835  1.40825e+00
133  0.13266  3.28149e-01 |134 -0.00555 -8.83084e-02 |135 -0.04402  1.00034e+00
136 -0.05676  5.86985e-02 |137 -0.01948  8.79916e-01 |138  0.09366 -8.83056e-02
139  0.03106 -3.09779e-01 |140  0.01211 -1.73555e+00 |141 -0.02680  4.58501e-01
142 -0.01705  1.44470e-01 |143 -0.00450  3.54935e-01 |144 -0.00034  1.49685e-02
145  0.28167  8.69541e+00 |146  0.19175  7.81690e+00 |147  0.04655 -4.68049e+00
148  0.29672  3.82656e+00 |149 -0.47550 -4.21602e-01 |150  0.31378  2.73907e-01
151  0.18241 -2.70607e+00 |152  0.25985  5.46498e+00 |153  0.17453 -1.94900e+00
154  0.25418  1.70902e+00 |155  0.10334 -1.97223e+00 |156  0.29675  3.58491e+00
157  0.16884 -2.17103e+00 |158  0.24621  3.10103e+00 |159 -0.35199  6.95884e-02
160  0.24280  4.36457e-01 |161  0.20262 -1.37811e+00 |162  0.31674  3.92944e+00
163 -0.38070  3.79125e-01 |164  0.23598  2.85567e-01 |165  0.05108 -3.07157e+00
166  0.11964 -4.33146e+00 |167  0.32137  3.99652e+00 |168  0.27251  5.44970e+00
169  0.01338 -1.12912e+00 |170  0.39320 -1.31502e-01 |171  0.09929 -1.29707e+01
172  0.16363 -1.18530e+01 |173  0.21869  1.08027e+01 |174  0.25726  6.26284e+00
175 -0.55411  2.07884e+00 |176  0.17113 -5.52264e-01 |

Intermediate statistics: 176 variables; iteration 20; function evaluation 20; phase 3
Function value 7.3340470e+03; maximum gradient component mag -4.2464e+01
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1 -0.42301  1.21692e+01 |  2  0.37155  4.23838e+01 |  3 -0.12655  2.37512e+00
  4 -0.01289  1.66844e+01 |  5 -0.70924 -1.32960e+00 |  6 -0.60463 -1.13198e+01
  7  0.37606 -1.71262e+01 |  8 -0.18583 -4.15535e+01 |  9  0.03429 -2.15560e+01
 10 -0.61004 -2.17732e+00 | 11 -0.62369 -9.65101e+00 | 12 -0.09343 -4.14023e+00
 13 -0.01013 -1.17456e-02 | 14 -0.01034 -1.21796e-02 | 15 -0.01056 -1.26135e-02
 16 -0.01077 -1.30452e-02 | 17 -0.01098 -1.34737e-02 | 18 -0.01118 -1.38960e-02
